"id","OUTLET_NAME","address","STREET_STATE","STREET_PCODE","STREET_SUBURB","OPEN_HOUR","CLOSE_HOUR","WEEKENDS","EVENINGS","dementia","reable","respite","terminal","mental_health","WEBSITE","MAIN_EMAIL","MAIN_PHONE","PUB_HOLIDAYS","lat","lng"
11,"Carealot Home Health Services","666 STIRLING Highway, MOSMAN PARK, 6012, WA","WA",6012,"MOSMAN PARK","06:00","20:00","TRUE","TRUE","dementia","reablement","respite","terminal","mental","http://www.carealot.com.au","b.macleod@carealot.com.au","+610892847562","TRUE",-32.0110185,115.7558785
12,"Resthaven Community Services Western","96 WOODVILLE Road, WOODVILLE, 5011, SA","SA",5011,"WOODVILLE","08:00","18:00","TRUE","TRUE","dementia","reablement","respite","terminal","mental","http://www.resthaven.asn.au/living-at-home/home-care-overview/","westerncs@resthaven.asn.au","+610883450577","TRUE",-34.8759862,138.5405075
13,"Ozcare Ipswich","2 JOFFRE Street, BOOVAL, 4304, QLD","QLD",4304,"BOOVAL","06:00","18:00","TRUE","TRUE","dementia","reablement","respite","terminal","mental","https://www.ozcare.org.au/aged-care/home-care/","admin.ipswich@ozcare.org.au","+611800692273","TRUE",-27.613156,152.7972237
14,"Presbyterian Aged Care Illawarra Home Care","9b Kembla Street, NORTH WOLLONGONG, 2500, NSW","NSW",2500,"NORTH WOLLONGONG","06:00","20:30","TRUE","TRUE","dementia","reablement","respite","FALSE","FALSE","http://www.pacnsw.org.au","caresupport@pcnsw.org.au","+611800722679","TRUE",-34.4170998,150.8994616
15,"Multicultural Aged Care","532-536 CANTERBURY Road, CAMPSIE, 2194, NSW","NSW",2194,"CAMPSIE","09:00","18:00","TRUE","TRUE","dementia","reablement","respite","terminal","mental","http://multiculturalcare.com.au","ceo@mc.org.au","+610297186199","TRUE",-33.9208416,151.0991124
16,"Presbyterian Aged Care South West Sydney Home Care","109 BOWRAL Street, BOWRAL, 2576, NSW","NSW",2576,"BOWRAL","06:00","20:30","TRUE","TRUE","dementia","reablement","respite","FALSE","FALSE","http://www.pacnsw.org.au","caresupport@pcnsw.org.au","+611800722679","TRUE",-34.4846477,150.4255381
17,"Avivo Live Life Inc Coral Coast","114 SANFORD Street, GERALDTON, 6530, WA","WA",6530,"GERALDTON","06:00","20:30","TRUE","TRUE","dementia","reablement","respite","terminal","mental","http://www.avivo.org.au","myagedcarereferralscoralcoast@avivo.org.au","+611300428486","TRUE",-28.7769258,114.609176
18,"CASS Home Care Package Chinese Indonesian Vietnamese Southern Sydney","44-50 Sixth Avenue, CAMPSIE, 2194, NSW","NSW",2194,"CAMPSIE","08:00","18:00","TRUE","TRUE","dementia","reablement","FALSE","terminal","FALSE","http://www.cass.org.au","kenny_lau@cass.org.au","+610297894587","TRUE",-33.9040889,151.1004279
19,"IAC HOME CARE","33 Kent Road, MARANGAROO, 6064, WA","WA",6064,"MARANGAROO","06:00","20:30","TRUE","TRUE","dementia","reablement","respite","terminal","FALSE","http://www.iaci.com.au","homecare@iaci.com.au","+610892470888","TRUE",-31.829808,115.822101
20,"Right at Home RightCare","Level 1, 101 ANNERLEY Road, WOOLLOONGABBA, 4102, QLD","QLD",4102,"WOOLLOONGABBA","05:00","20:30","TRUE","TRUE","dementia","reablement","respite","terminal","mental","https://www.rightathome.com.au","rightcare@rightathome.com.au","+611300363802","TRUE",-27.491164,153.02698
21,"ACCA Chinese Home Care Packages Eastern Sydney","2 MARY Street, SURRY HILLS, 2010, NSW","NSW",2010,"SURRY HILLS","07:00","18:00","TRUE","TRUE","dementia","reablement","FALSE","FALSE","FALSE","","margaret.leung@acca.org.au","+610292811377","FALSE",-33.8803969,151.2103894
22,"ACCA Chinese Home Care Packages Northern Sydney","10 HELP Street, CHATSWOOD, 2067, NSW","NSW",2067,"CHATSWOOD","07:00","18:00","TRUE","TRUE","dementia","reablement","respite","FALSE","FALSE","","amy.chan@acca.org.au","+610294123488","FALSE",-33.7962587,151.1792386
23,"ACH Group Home Care Cambodian Community ","22 HENLEY BEACH Road, MILE END, 5031, SA","SA",5031,"MILE END","07:00","20:00","TRUE","TRUE","dementia","reablement","respite","terminal","mental","http://achgroup.org.au/","dlhcshomecareteamleaders@ach.org.au","+611300224477","TRUE",-34.9231045,138.5763477
27,"CASS Home Care Package Korean mainstream Southern Sydney","50 SIXTH Avenue, CAMPSIE, 2194, NSW","NSW",2194,"CAMPSIE","08:00","18:00","TRUE","TRUE","dementia","reablement","FALSE","FALSE","FALSE","http://www.casscare.org.au","kenny_lau@cass.org.au","+610297894587","TRUE",-33.9038625,151.1005866
29,"Home Instead Senior Care Bayside and Logan","112 BIRKDALE Road, BIRKDALE, 4159, QLD","QLD",4159,"BIRKDALE","05:00","20:30","TRUE","TRUE","dementia","reablement","respite","terminal","FALSE","","victoria@hiscbayside.com.au","+610732455517","TRUE",-27.495144,153.2123753
30,"Best In Care Australia","5 LYREBIRD Street, BUDERIM, 4556, QLD","QLD",4556,"BUDERIM","05:00","20:30","TRUE","TRUE","dementia","reablement","respite","terminal","FALSE","http://www.bestincareaustralia.com.au","kerrih@bestincareaustralia.com.au","+610754561293","TRUE",-26.6837879,153.0915287
31,"Aged Care Your Life Your Way Illawarra","25-27 Auburn Street, WOLLONGONG, 2500, NSW","NSW",2500,"WOLLONGONG","06:00","20:30","TRUE","TRUE","dementia","reablement","respite","terminal","mental","http://www.catholiccare.dow.org.au","ageddisabilityadm@catholiccare.dow.org.au","+610242549342","TRUE",-34.4289862,150.8894241
33,"PresCare Community Care Strathpine","27 South Pine Road, BRENDALE, 4500, QLD","QLD",4500,"BRENDALE","06:00","18:00","TRUE","TRUE","dementia","reablement","respite","terminal","mental","http://www.prescare.org.au","prescontactcentre@prescare.org.au","+611800773722","TRUE",-27.3125947,152.9890003
36,"PresCare Community Care Gold Coast","117 ASHMORE Road, BUNDALL, 4217, QLD","QLD",4217,"BUNDALL","06:00","18:00","TRUE","TRUE","dementia","reablement","respite","terminal","mental","http://www.prescare.org.au","prescontactcentre@prescare.org.au","+611800773722","TRUE",-28.0083375,153.3990855
39,"Australian Unity Home Care Service Armidale",", Armidale Plaza, ARMIDALE, 2350, NSW","NSW",2350,"ARMIDALE","06:00","20:00","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","https://www.australianunity.com.au/home-services/","customercare@australianunity.com.au","+611300160170","TRUE",-30.5122776,151.6654455
40,"Australian Unity Home Care Service Ballina","84 Kerr Street, BALLINA, 2478, NSW","NSW",2478,"BALLINA","06:00","20:00","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","http://australianunity.com.au/home-services/","customercare@australianunity.com.au","+611300160170","TRUE",-28.8583925,153.5588606
41,"Australian Unity Home Care Service Dapto","168-170 PRINCES Highway, DAPTO, 2530, NSW","NSW",2530,"DAPTO","06:00","20:00","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","http://australianunity.com.au/home-services/","customercare@australianunity.com.au","+611300160170","TRUE",-34.4967323,150.7919354
42,"Australian Unity Home Care Service Corowa","113 SANGER Street, COROWA, 2646, NSW","NSW",2646,"COROWA","06:00","20:00","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","http://australianunity.com.au/home-services/","customercare@australianunity.com.au","+611300160170","TRUE",-35.9979294,146.3912222
43,"Australian Unity Home Care Service Dubbo","Level 1, 130 Brisbane Street, DUBBO, 2830, NSW","NSW",2830,"DUBBO","06:00","20:00","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","http://australianunity.com.au/home-services","customercare@australianunity.com.au","+611300160170","TRUE",-32.2461743,148.6044322
44,"Australian Unity Home Care Service Deniliquin","371 CRESSY Street, DENILIQUIN, 2710, NSW","NSW",2710,"DENILIQUIN","06:00","20:00","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","http://australianunity.com.au/home-services/","customercare@australianunity.com.au","+611300160170","TRUE",-35.5275318,144.9622061
45,"Australian Unity Home Care Service Epping","Level 3, 110 GEORGE Street, HORNSBY, 2077, NSW","NSW",2077,"HORNSBY","06:00","20:00","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","http://australianunity.com.au/home-services/","customercare@australianunity.com.au","+611300160170","TRUE",-33.7004546,151.1002321
46,"Australian Unity Home Care Service Aboriginal Home Care Glen Innes","Level 2, 285 Grey Street, GLEN INNES, 2370, NSW","NSW",2370,"GLEN INNES","06:00","20:00","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","http://australianunity.com.au/homecare","customercare@australianunity.com.au","+611300160170","TRUE",-29.7395967,151.7354014
47,"Australian Unity Home Care Service Hawkesbury","Level 2, 29-57 Station Street, PENRITH, 2750, NSW","NSW",2750,"PENRITH","06:00","20:00","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","http://australianunity.com.au/home-care","customercare@australianunity.com.au","+611300160170","TRUE",-33.7513643,150.6955153
48,"Australian Unity Home Care Service GosfordWyong","237 MANN Street, GOSFORD, 2250, NSW","NSW",2250,"GOSFORD","06:00","20:00","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","http://australianunity.com.au/home-services/","customercare@australianunity.com.au","+611300160170","TRUE",-33.4235672,151.3431413
49,"Australian Unity Home Care Service Griffith","220B Banna Avenue, GRIFFITH, 2680, NSW","NSW",2680,"GRIFFITH","06:00","20:00","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","http://australianunity.com.au/home-services/","customercare@australianunity.com.au","+611300160170","TRUE",-34.2885555,146.0479799
50,"Australian Unity Home Care Service St George","Level 1, 37-41 Belmont Street, SUTHERLAND, 2232, NSW","NSW",2232,"SUTHERLAND","06:00","20:00","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","http://australianunity.com.au/home-services/","customercare@australianunity.com.au","+611300160170","TRUE",-34.030925,151.0614781
51,"White Oak Home Care East Metro","115 GRAND Boulevard, JOONDALUP, 6027, WA","WA",6027,"JOONDALUP","06:00","20:00","TRUE","TRUE","dementia","reablement","respite","terminal","mental","http://www.whiteoak.com.au","info@whiteoak.com.au","+61083010299","TRUE",-31.7415434,115.7706016
52,"Australian Unity Home Care Service Lightning Ridge","3 PANDORA Street, LIGHTNING RIDGE, 2834, NSW","NSW",2834,"LIGHTNING RIDGE","06:00","20:00","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","http://australianunity.com.au/home-services/","customercare@australianunity.com.au","+611300160170","TRUE",-29.4315998,147.9790315
53,"Australian Unity Home Care Service Kempsey","80 ELBOW Street, WEST KEMPSEY, 2440, NSW","NSW",2440,"WEST KEMPSEY","06:00","20:00","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","http://australianunity.com.au/home-services/","customercare@australianunity.com.au","+611300160170","TRUE",-31.0813363,152.8281909
54,"Australian Unity Home Care Service Lismore","Level 1, 107 WALKER Street, CASINO, 2470, NSW","NSW",2470,"CASINO","06:00","20:00","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","http://australianunity.com.au/home-services/","customercare@australianunity.com.au","+611300160170","TRUE",-28.8627307,153.0487454
55,"Australian Unity Home Care Service Leeton","15 Kurrajong Avenue, LEETON, 2705, ACT","ACT",2705,"LEETON","06:00","20:00","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","http://australianunity.com.au/home-services/","customercare@australianunity.com.au","+611300160170","TRUE",-34.5523356,146.4070036
58,"Australian Unity Home Care Service Maitland","24 GARNETT Road, EAST MAITLAND, 2323, NSW","NSW",2323,"EAST MAITLAND","06:00","20:00","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","http://australianunity.com.au/home-services/","customercare@australianunity.com.au","+611300160170","TRUE",-32.7615118,151.5872374
59,"White Oak Home Care","115 Grand Boulevard, JOONDALUP, 6027, WA","WA",6027,"JOONDALUP","06:00","20:00","TRUE","TRUE","dementia","reablement","respite","terminal","mental","http://www.whiteoak.com.au","info@whiteoak.com.au","+610893010299","TRUE",-31.7415434,115.7706016
60,"Australian Unity Home Care Service Aboriginal Home Care Parkes","80 CURRAJONG Street, PARKES, 2870, NSW","NSW",2870,"PARKES","06:00","20:00","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","http://australianunity.com.au/homecare","customercare@australianunity.com.au","+611300160170","TRUE",-33.1329835,148.1754329
62,"Australian Unity Home Care Service Queanbeyan","7-9 MORISSET Street, QUEANBEYAN, 2620, NSW","NSW",2620,"QUEANBEYAN","06:00","20:00","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","http://australianunity.com.au/homecare","customercare@australianunity.com.au","+611300160170","TRUE",-35.3523733,149.2321477
63,"Australian Unity Home Care Service Port Macquarie","28 GORE Street, PORT MACQUARIE, 2444, NSW","NSW",2444,"PORT MACQUARIE","06:00","20:00","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","http://australianunity.com.au/home-services/","customercare@australianunity.com.au","+611300160170","TRUE",-31.4351946,152.9031263
64,"Australian Unity Home Care Service Walcha","27e  Fitzroy Street, WALCHA, 2354, NSW","NSW",2354,"WALCHA","06:00","20:00","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","http://australianunity.com.au/home-services/","customercare@australianunity.com.au","+611300160170","TRUE",-30.9852028,151.595537
65,"Australian Unity Home Care Service Aboriginal Home Care Dareton","58 Sturt Place, DARETON, 2717, NSW","NSW",2717,"DARETON","06:00","20:00","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","https://www.australianunity.com.au/home-services/","customercare@australianunity.com.au","+611300160170","TRUE",-34.0951918,142.0452471
66,"Australian Unity Home Care Service Tamworth","Level 1, 155-157 MARIUS Street, TAMWORTH, 2340, NSW","NSW",2340,"TAMWORTH","06:00","20:00","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","http://australianunity.com.au/home-services/","customercare@australianunity.com.au","+611300160170","TRUE",-31.0884115,150.9303656
68,"Australian Unity Home Care Service Dee Why","651 PITTWATER Road, DEE WHY, 2099, NSW","NSW",2099,"DEE WHY","06:00","20:00","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","http://australianunity.com.au/homecare","customercare@australianunity.com.au","+611300160170","TRUE",-33.7544345,151.284002
69,"Australian Unity Home Care Service Wagga Wagga","Level 3, 76 MORGAN Street, WAGGA WAGGA, 2650, NSW","NSW",2650,"WAGGA WAGGA","06:00","20:00","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","http://australianunity.com.au/home-services/","customercare@australianunity.com.au","+611300160170","TRUE",-35.1163518,147.369656
70,"Australian Unity Home Care Service Tweed Heads","19 GRIFFITH Street, COOLANGATTA, 4225, QLD","QLD",4225,"COOLANGATTA","06:00","20:00","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","http://australianunity.com.au/home-services/","customercare@australianunity.com.au","+611300160170","TRUE",-28.1681834,153.5363179
71,"Australian Unity Home Care Service Grafton","18 RIVER Street, MACLEAN, 2463, NSW","NSW",2463,"MACLEAN","06:00","20:00","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","http://australianunity.com.au/home-services/","customercare@australianunity.com.au","+611300160170","TRUE",-29.4558936,153.1967249
72,"Hastings District Respite Care","41-47 MORTON Street, PORT MACQUARIE, 2444, NSW","NSW",2444,"PORT MACQUARIE",NaN,NaN,"TRUE","TRUE","dementia","FALSE","respite","FALSE","FALSE","www.hdrc.org.au","rdc@hdrc.org.au","+610265841115","TRUE",-31.4381465,152.8973838
73,"Kare Seniors Home Care Package Level Less Fees Means More Services ","8 COSTAS Drive, HOPPERS CROSSING, 3029, VIC","VIC",3029,"HOPPERS CROSSING","09:00","17:00","TRUE","TRUE","dementia","reablement","respite","FALSE","FALSE","http://www.kareseniors.com.au","info@kareseniors.com.au","+610397488100","TRUE",-37.8731792,144.7179507
74,"MultiLink Community Care","38 Blackwood Road, LOGAN CENTRAL, 4114, QLD","QLD",4114,"LOGAN CENTRAL","06:00","19:00","TRUE","TRUE","dementia","reablement","respite","terminal","mental","http://www.multilink.org.au","jemma@multilink.org.au","+61078084463","TRUE",-27.637078,153.1038489
75,"Parkglen Home Care Services","360 Cheltenham Road, KEYSBOROUGH, 3173, VIC","VIC",3173,"KEYSBOROUGH","05:00","20:30","TRUE","TRUE","dementia","reablement","respite","terminal","mental","http://www.parkglen.com.au","enquiries@parkglen.com.au","+610397981633","TRUE",-37.993435,145.163391
76,"Nandebri Home Nursing Pty Ltd","5 BALD HILL Road, NARRABRI, 2390, NSW","NSW",2390,"NARRABRI","07:00","17:30","TRUE","TRUE","dementia","reablement","respite","terminal","FALSE","http://www.nandebrihomenursing.net.au","nandebri@bigpond.com","+610267923397","TRUE",-30.2773278,149.7318068
77,"Auspire Care","41 STATION Road, LOGAN CENTRAL, 4114, QLD","QLD",4114,"LOGAN CENTRAL","05:00","20:30","TRUE","TRUE","dementia","reablement","respite","terminal","mental","http://www.auspirecare.com.au","info@auspirecare.com.au","+611300433983","TRUE",-27.6375314,153.1037977
78,"IWAA Sydney","11 WATLAND Street, SPRINGWOOD, 4127, QLD","QLD",4127,"SPRINGWOOD",NaN,NaN,"TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","","intake@iwaq.org.au","+610403415575","TRUE",-27.6250661,153.1306377
79,"Gabeth Pty Ltd","204 PORTRUSH Road, TRINITY GARDENS, 5068, SA","SA",5068,"TRINITY GARDENS","05:00","20:30","TRUE","TRUE","dementia","reablement","respite","terminal","mental","","moti.naral@gabeth.com.au","+610403497833","TRUE",-34.9129209,138.6407283
80,"OzPol Services Brisbane South","40 ROMA Street, BRISBANE CITY, 4000, QLD","QLD",4000,"BRISBANE CITY","06:00","20:00","TRUE","TRUE","dementia","reablement","respite","terminal","mental","http://www.allagedcare.com.au","inbound@ozpol.com.au","+610732386700","TRUE",-27.4678828,153.0226608
82,"Australian Home Care Services","1096 TOORAK Road, CAMBERWELL, 3124, VIC","VIC",3124,"CAMBERWELL","07:00","20:30","TRUE","TRUE","FALSE","reablement","respite","terminal","mental","http://www.ahcs.org.au","intake@ahcs.org.au","+611300303770","TRUE",-37.8482107,145.0745506
86,"Australian Home Care Services","Level 2, 184 Bourke Road, ALEXANDRIA, 2015, NSW","NSW",2015,"ALEXANDRIA","07:00","20:30","TRUE","TRUE","FALSE","reablement","respite","terminal","mental","http://www.ahcs.org.au","intake@ahcs.org.au","+611300303770","TRUE",-33.9167379,151.1899439
92,"Carers Link","9 THOMAS Street, WYNNUM, 4178, QLD","QLD",4178,"WYNNUM","08:30","17:00","TRUE","TRUE","dementia","FALSE","respite","FALSE","FALSE","http://www.carerslink.com.au","info@carerslink.com.au","+610739011165","TRUE",-27.4514199,153.1671558
93,"Greek Home Care Packages","282 WAYMOUTH Street, ADELAIDE, 5000, SA","SA",5000,"ADELAIDE","07:00","19:00","TRUE","TRUE","dementia","reablement","FALSE","FALSE","mental","http://www.gocsacommunitycare.com.au","lika@gocsacommunitycare.com.au","+610870880502","TRUE",-34.9260862,138.5892708
94,"Care","79 MANDOON Road, GIRRAWEEN, 2145, NSW","NSW",2145,"GIRRAWEEN","05:00","20:30","TRUE","TRUE","dementia","FALSE","respite","FALSE","FALSE","http://365care.com.au","john@365care.com.au","+610282944126","TRUE",-33.8017958,150.9393702
96,"Umbrella North Metro Services","39 Abernethy Road, BELMONT, 6104, WA","WA",6104,"BELMONT","08:00","17:00","TRUE","TRUE","dementia","reablement","respite","terminal","FALSE","http://www.umbrellacommunitycare.com.au","j.kacperek@umbrellacommunitycare.com.au","+6192754411","TRUE",-31.948804,115.922106
98,"Gippsland Care Services","77 VICTORIA Street, WARRAGUL, 3820, VIC","VIC",3820,"WARRAGUL","07:00","20:00","TRUE","TRUE","dementia","reablement","FALSE","terminal","FALSE","http://www.gippslandcareservices.com.au","amanda@gippslandcareservices.com.au","+610429650109","TRUE",-38.1594284,145.9294632
99,"JustForU","198 WARRIGAL Road, OAKLEIGH, 3166, VIC","VIC",3166,"OAKLEIGH","05:00","20:30","TRUE","TRUE","dementia","reablement","respite","terminal","mental","https://www.jfu.net.au/","jfuhomecare@jfucare.com.au","+610395783024","TRUE",-37.909353,145.085435
100,"Helping Hands Community Care Services Pty Ltd Slacks Creek","5-11 NOEL Street, SLACKS CREEK, 4127, QLD","QLD",4127,"SLACKS CREEK","09:00","17:00","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","https://www.helpinghandsccs.com.au","helpinghccs@gmail.com","+611300685206","TRUE",-27.6307286,153.1196126
101,"Catholic Healthcare Community Services South West Sydney formerly Catholic Community Services","13 NEPTUNE Street, REVESBY, 2212, NSW","NSW",2212,"REVESBY","06:00","19:00","TRUE","TRUE","dementia","reablement","respite","FALSE","mental","http://www.catholichealthcare.com.au/en/in-homecommunity/","intake@chcs.com.au","+611800225474","TRUE",-33.9638418,151.0201643
102,"Just Better Care Gold Coast","220 VARSITY Parade, VARSITY LAKES, 4227, QLD","QLD",4227,"VARSITY LAKES","08:00","16:30","TRUE","TRUE","dementia","FALSE","respite","terminal","mental","www.justbettercare.com","mailgc@justbettercare.com","+610755773600","TRUE",-28.0782543,153.4137317
108,"Kalkarindji Daguragu Community Aged and Disability Service","4 JANAMA Street, KALKARINDJI, 852, NT","NT",852,"KALKARINDJI","08:00","16:30","TRUE","FALSE","dementia","reablement","FALSE","terminal","mental","","sharlene.lane@vicdaly.nt.gov.au","+6189720732","FALSE",-17.433333,130.833333
113,"Alliance Health Inner West Sydney Services","59 BUCKINGHAM Street, SURRY HILLS, 2010, NSW","NSW",2010,"SURRY HILLS","07:00","20:30","TRUE","TRUE","dementia","reablement","respite","FALSE","mental","http://www.alliancehealth.com.au","chsp@alliancehealth.com.au","+610293106512","TRUE",-33.8884456,151.2069202
115,"Blue Care Springwood Community Care","129 Dennis Road, SPRINGWOOD, 4127, QLD","QLD",4127,"SPRINGWOOD","06:00","18:00","TRUE","TRUE","dementia","reablement","respite","terminal","mental","","","","TRUE",-27.6169865,153.1409283
116,"NEW HOME AGED CARE","58A PEMBROKE Street, EPPING, 2121, NSW","NSW",2121,"EPPING","06:30","20:30","TRUE","TRUE","dementia","reablement","respite","terminal","mental","http://www.samsungcare.com.au","admin@samsungcare.com.au","+610415223433","TRUE",-33.7716471,151.0896346
117,"Focused Health Care Pty Ltd Brisbane North","337A BRACKEN RIDGE Road, BRACKEN RIDGE, 4017, QLD","QLD",4017,"BRACKEN RIDGE","05:00","20:30","TRUE","TRUE","dementia","reablement","respite","terminal","mental","https://focusedhealthcare.com.au","director@focusedhealthcare.com.au","+611300561000","TRUE",-27.3113567,153.0346763
118,"OmniCare HCP","4 BRUCE Street, PRESTON, 3072, VIC","VIC",3072,"PRESTON","06:00","20:30","TRUE","TRUE","dementia","reablement","respite","terminal","FALSE","http://www.omni-care.com.au","hcp@omni-care.com.au","+610394848102","TRUE",-37.7422554,145.0025588
119,"TTHA at Home Tabulam and Templer Community Care","31-41 ELIZABETH Street, BAYSWATER, 3153, VIC","VIC",3153,"BAYSWATER","09:00","17:00","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","http://www.ttha.org.au","homecare@ttha.org.au","+610387201338","TRUE",-37.8547125,145.2624631
120,"Just Better Care South West ","20 TARAKAN Avenue, ASHMONT, 2650, NSW","NSW",2650,"ASHMONT","05:00","20:30","TRUE","TRUE","dementia","reablement","respite","terminal","mental","","mailswnsw@justbettercare.com","+610269311020","TRUE",-35.1263649,147.3353907
121,"Focused Health Care Pty Ltd Brisbane South","337A Bracken Ridge Road, BRACKEN RIDGE, 4017, QLD","QLD",4017,"BRACKEN RIDGE","05:00","20:30","TRUE","TRUE","dementia","reablement","respite","terminal","mental","http://www.focusedhealthcare.com.au","director@focusedhealthcare.com.au","+611300561000","TRUE",-27.3113567,153.0346763
122,"Residential Gardens","420 WOODSTOCK Avenue, ROOTY HILL, 2766, NSW","NSW",2766,"ROOTY HILL","06:00","20:30","TRUE","TRUE","dementia","reablement","respite","terminal","mental","http://www.residentialgardens.com.au","info@residentialgardens.com.au","+610288875555","TRUE",-33.7591661,150.8326803
